"","Rank","Airport","City
served","Region","IATA","ICAO","Passengers","Aircraft","Cargo"
"1",1,"Haneda Airport","Tokyo","Kanto","HND","RJTT","75,254,942","438,542","1,173,752"
"2",2,"Narita International Airport","Tokyo","Kanto","NRT","RJAA","34,751,221","233,500","2,122,318"
"3",3,"Kansai International Airport","Osaka","Kansai","KIX","RJBB","23,136,223","163,506","745,606"
"4",4,"Fukuoka Airport","Fukuoka","Kyushu","FUK","RJFF","20,968,463","172,964","262,481"
"5",5,"New Chitose Airport","Sapporo","Hokkaido","CTS","RJCC","20,461,531","140,620","228,054"
"6",6,"Naha Airport","Naha","Okinawa","OKA","ROAH","18,336,030","155,120","414,530"
"7",7,"Osaka International Airport","Osaka","Kansai","ITM","RJOO","14,541,936","139,450","140,688"
"8",8,"Chubu Centrair International Airport","Nagoya","Chubu","NGO","RJGG","10,177,713","95,416","208,110"
"9",9,"Kagoshima Airport","Kagoshima","Kyushu","KOJ","RJFK","5,220,710","66,730","32,623"
"10",10,"Kumamoto Airport","Kumamoto","Kyushu","KMJ","RJFT","3,241,633","41,826","18,594"
"11",11,"Sendai Airport","Sendai","Tohoku","SDJ","RJSS","3,152,569","51,470","7,232"
"12",12,"Nagasaki Airport","Nagasaki","Kyushu","NGS","RJFU","3,110,686","31,912","16,233"
"13",13,"Miyazaki Airport","Miyazaki","Kyushu","KMI","RJFM","2,976,563","41,814","9,957"
"14",14,"Matsuyama Airport","Matsuyama","Shikoku","MYJ","RJOM","2,863,239","31,010","8,181"
"15",15,"Hiroshima Airport","Hiroshima","Chugoku","HIJ","RJOA","2,669,210","23,218","20,487"
"16",16,"Kobe Airport","Kobe","Kansai","UKB","RJBE","2,435,110","27,514","0"
"17",17,"Ishigaki Airport","Ishigaki","Okinawa","ISG","ROIG","2,308,065","24,794","19,095"
"18",18,"Oita Airport","Oita","Kyushu","OIT","RJFO","1,849,834","21,666","9,288"
"19",19,"Komatsu Airport","Komatsu","Chubu","KMQ","RJNK","1,844,117","17,832","15,309"
"20",20,"Takamatsu Airport","Takamatsu","Shikoku","TAK","RJOT","1,809,820","18,004","7,395"
"21",21,"Hakodate Airport","Hakodate","Hokkaido","HKD","RJCH","1,772,052","17,996","9,546"
"22",22,"Okayama Airport","Okayama","Chugoku","OKJ","RJOB","1,391,723","11,516","5,704"
"23",23,"Kochi Airport","Kochi, Kochi","Shikoku","KCZ","RJOK","1,350,930","18,262","3,948"
"24",24,"Miyako Airport","Miyako-jima","Okinawa","MMY","ROMY","1,335,697","15,466","14,480"
"25",25,"Kitakyushu Airport","Kitakyushu","Kyushu","KKJ","RJFR","1,317,504","17,512","7,922"
"26",26,"Akita Airport","Akita","Tohoku","AXT","RJSK","1,238,082","19,028","2,167"
"27",27,"Asahikawa Airport","Asahikawa","Hokkaido","AKJ","RJEC","1,148,825","7,980","6,810"
"28",28,"Tokushima Airport","Tokushima","Shikoku","TKS","RJOS","1,000,121","10,906","2,524"
"29",29,"Aomori Airport","Aomori","Tohoku","AOJ","RJSA","992,696","16,330","2,712"
"30",30,"Niigata Airport","Niigata","Chubu","KIJ","RJSN","984,629","26,422","640"
"31",31,"Yamaguchi Ube Airport","Yamaguchi/Ube","Chugoku","UBJ","RJDC","918,238","8,602","2,747"
"32",32,"Izumo Airport","Izumo","Chugoku","IZO","RJOC","832,825","11,916","1,073"
"33",33,"Memanbetsu Airport","Ozora","Hokkaido","MMB","RJCM","757,103","10,156","1,629"
"34",34,"Toyama Airport","Toyama","Chubu","TOY","RJNT","736,740","9,314","1,783"
"35",35,"Nagoya Airfield","Nagoya","Chubu","NKM","RJNA","735,114","42,278","0"
"36",36,"Shizuoka Airport","Shizuoka","Chubu","FSZ","RJNS","699,276","9,496","776"
"37",37,"Kushiro Airport","Kushiro","Hokkaido","KUH","RJCK","685,379","9,974","2,508"
"38",38,"Amami Airport","Amami","Kyushu","ASJ","RJKA","676,601","15,236","1,230"
"39",39,"Miho-Yonago Airport","Yonago","Chugoku","YGJ","RJOH","666,445","6,970","2,118"
"40",40,"Saga Airport","Saga","Kyushu","HSG","RJFS","630,478","10,056","5,050"
"41",41,"Obihiro Airport","Obihiro","Hokkaido","OBO","RJCB","605,703","12,942","3,004"
"42",42,"Ibaraki Airport","Tokyo","Kanto","IBR","RJAH","538,227","5,006","300"
"43",43,"Hanamaki Airport","Hanamaki","Tohoku","HNA","RJSI","395,647","11,334","213"
"44",43,"Marine Corps Air Station Iwakuni","Iwakuni","Chugoku","IWK","RJOI","356,170","2,918","47"
"45",44,"Tottori Airport","Tottori","Chugoku","TTJ","RJOR","366,925","5,326","529"
"46",45,"Shonai Airport","Shonai","Tohoku","SYO","RJSY","364,815","4,214","533"
"47",46,"Marine Corps Air Station Iwakuni","Iwakuni","Chugoku","IWK","RJOI","363,559","2,926","167"
"48",47,"Misawa Airport","Misawa","Tohoku","MSJ","RJSM","252,616","3,666","987"
"49",48,"Fukushima Airport","Fukushima","Tohoku","FKS","RJSF","250,535","7,680","124"
"50",49,"Tsushima Airport","Tsushima","Kyushu","TSJ","RJDT","250,194","6,076","347"
"51",50,"Kumejima Airport","Kumejima","Okinawa","UEO","ROKJ","238,875","5,394","1,420"
