"","lon","lat","City","location","station","summer_humidex","winter_avg_temp","Airport"
"1",136.6562051,36.5613254,"Kanazawa",NA,NA,NA,NA,NA
"2",135.7680294,35.0116363,"Kyoto",NA,NA,NA,NA,NA
"3",-94.5833869,39.0938709,"Nara",NA,NA,NA,NA,NA
"4",141.6926,42.7742,"Sapporo","Hokkaido","RJCC",14.8222928967351,-4.84745074141783,"New Chitose Airport"
"5",140.6886,40.7333,"Aomori","Tohoku","RJSA",17.026516630963,-2.21917808219178,"Aomori Airport"
"6",139.7811,35.5533,"Tokyo","Tokyo","RJTT",23.8255827353774,8.34776087422327,"Haneda Airport"
"7",135.4392,34.7844,"Osaka","Osaka","RJOO",26.3533111332124,7.17514871116986,"Osaka International Airport"
"8",135.2239,34.6328,"Kobe","Kobe","RJBE",25.4931680722685,8.06816479400749,"Kobe Airport"
"9",133.6694,33.5461,"Kochi","Shikoku","RJOK",25.3877870719311,9.72895863052782,"Kochi Airport"
"10",132.9194,34.4361,"Hiroshima","Hiroshima","RJOA",22.2734484157235,5.05607476635514,"Hiroshima Airport"
"11",132.6997,33.8272,"Matsuyama","Kyushu","RJOM",24.4685933254446,9.03026315789474,"Matsuyama Airport"
"12",127.6458,26.1958,"Naha","Okinawa","ROAH",29.0043792434541,19.0329227323628,"Naha Airport"
